bodyType,color,description,engine,engineDisplacement,enginePower,fuelType,equipment_dict,mileage,card_type,brand,model_name,model_name2,name,datetime,parsing_unixtime,productionDate,sell_id,vehicleTransmission,Владельцы,ПТС,Привод,Руль,Состояние,Таможня,price,Владение
внедорожник 5 дв.,серебристый,"Только СЕГОДНЯ И ЗАВТРА при покупке этого автомобиля:► Увеличенная выгода до 60 000 руб. при обмене на Ваш автомобиль,► Гарантированная скидка при покупке в кредит 20 000 руб,► Возможна покупка автомобиля в кредит без первоначального взноса.Звоните – потом будет дороже!ГК «АВТОМИР» уже 26 ЛЕТ принимает легковые и коммерческие автомобили любой марки, года выпуска, пробега и состояния!На представленном автомобиле:∙ Проведена комплексная, техническая и криминалистическая проверка.∙ Проверена история кузовных ремонтов сертифицированными специалистами.∙ Гарантируем юридическую чистоту в соответствии с законодательством РФ.Мы предлагаем:✔ Срочный выкуп Вашего автомобиля✔ Выкуп кредитных автомобилей✔ Трейд-ин - обмен Вашего автомобиля на новый или с пробегом✔ Комиссионная продажа - на Ваших условиях✔ Аукцион✔ Кредитование✔ Страхование КАСКО, ОСАГО✔ Дополнительное оборудование✔ Запасные части✔ Возможна покупка шин и дисков (с пробегом)Комплектация «Executive»:• Антиблокировочная система• Система курсовой устойчивости• Боковые передние подушки безопасности• Система крепления детских автокресел• Центральный замок• Бортовой компьютер• Круиз-контроль• Парктроник передний и задний• Датчик света• Датчик дождя• Гидро усилитель руля• Электрорегулировка сиденья водителя• Электрорегулировка сиденья пассажира• Электростеклоподъемники передние• Электропривод зеркал• Климат-контроль 2-зонный• Подогрев сидений• Обогрев зеркал• CD• Bluetooth• Кожаная обивка салона• Темный салон• Литые легкосплавные диски• Тонированные стекла• Биксеноновые фары• Противотуманные фары• Комплект резиновых ковриков• Полноразмерное запасное колесо",2.4 л / 166 л.с. / Бензин,2.4 л , 166 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hMRLuwrk8-iZrcdn2LGVeyFIneEk5NNEsC0saevbNWDIfHHFNmH-pmCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 235738, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'CR_V', 'modelName': 'CR-V', 'power': 166, 'price': 799000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2008}",235 738 км,Б/у,Honda,CR-V,III,2.4 AT (166 л.с.) 4WD,2021-05-12 02:08:04.669723+03:00,1620774484,2008,№ 1103126714,автоматическая,3 или более,Дубликат,полный,Левый,Не требует ремонта,Растаможен,799 000 ₽,
хэтчбек 5 дв.,белый,"Преимущества автомобиля:∙    Автомобиль продается официальным дилером с большой историей АВТОМИР.∙    Каждый автомобиль прошел комплексную диагностику. Гарантия юридической чистоты.∙    Мы находимся в 7-ми минутах ходьбы от станции м. Южная.∙    Выгода при обмене на Ваш а/м – до 50 000 р. Выгода при покупке а/м в кредит – до 25 000 р.∙    Только у нас действует программа кредитования на лучших условиях от 6,9%∙    Так же у нас Вы сможете приобрести дополнительное оборудование для своего автомобиля.∙    Ждём вас каждый день с 9:00 до 22:00 Звоните и приезжайте - Мы обязательно договоримся!Комплектация:• Антиблокировочная система• Подушки безопасности водителя• Сигнализация• Центральный замок• Бортовой компьютер• Электростеклоподъемники передние• Кондиционер• Обогрев зеркал• CD• Тканевая обивка салона• Светлый салон• Литые легкосплавные диски• Полноразмерное запасное колесо",1.3 л / 83 л.с. / Бензин,1.3 л , 83 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4337654/2b357a1e7e3f025af95acb2d9579fd24/1200x900', 'km-age': 168409, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'JAZZ', 'modelName': 'Jazz', 'power': 83, 'price': 364000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'MECHANICAL', 'type': '', 'year': 2002}",168 409 км,Б/у,Honda,Jazz,I,1.3 MT (83 л.с.),2021-05-12 02:08:05.495496+03:00,1620774485,2002,№ 1103044254,механическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,Растаможен,364 000 ₽,
седан,белый,"Ваш выбор и Ваше время — наши главные приоритеты. Поэтому в РОЛЬФ Северо-Запад | Автомобили с пробегом мы предлагаем Вам индивидуальные условия на приобретение Honda Accord с пробегом.Специально для Вас:✅ Более 1 500 проверенных автомобилей с пробегом на площади 27 000 кв.м. ✅ Более 50 брендов в различных ценовых категориях.✅ Кредитование в более чем 10 банков-партнёров.✅ Все виды страхования автомобилей.✅ Услуги ГИБДД (поставка на учет, прекращение учета, сохранение государственных знаков).✅ Гарантия до 2 лет на автомобили различных марок.✅ Юридическая чистота и безопасность сделки.✅ Онлайн-консультация по интересующему вас автомобилю.✅ Онлайн-бронирование и предоплата автомобилей.✅ Дистанционно-бесконтактный осмотр автомобиля.✅ Запись на сервисное обслуживание.РОЛЬФ Северо-Запад | Автомобили с пробегом.⭐ №1 по продажам автомобилей с пробегом в России*по данным АвтоБизнесРевюМы рады видеть Вас ежедневно с 10:00 до 22:00 по адресу: Москва, 71-й километр, 16А, МКАД.",2.4 л / 200 л.с. / Бензин,2.4 л , 200 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/2049647/853574baa5264b21851cd63de112296e/1200x900', 'km-age': 162700, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'ACCORD', 'modelName': 'Accord', 'power': 200, 'price': 965000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': '', 'year': 2012}",162 700 км,Б/у,Honda,Accord,VIII Рестайлинг,2.4 AT (200 л.с.),2021-05-12 02:08:06.119404+03:00,1620774486,2012,№ 1102875186,автоматическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,Растаможен,965 000 ₽,
внедорожник 5 дв.,белый,"ЛОТ: 01253339FAVORIT MOTORS Peugeot/Citroen/Haval СеверВы можете получить скидку на данный автомобиль до 50000 рублей. Подробности уточняйте у менеджеров отдела продаж.ГК FAVORIT MOTORS строит свою работу на принципах открытости и честности! Нам доверяют более 25 лет.- Автомобиль продается официальным дилером FAVORIT MOTORS.- Покупка и обслуживание у официального дилера.- Проведена предпродажная подготовка,- Гарантия юридической чистоты.- Круглосуточная техническая поддержка с бесплатным эвакуатором.- Автомобиль можно приобрести за наличный расчет, безналичным платежом, а также мы примем вашу машину по рыночной стоимости в рамках программы трейд-ин и при необходимости — выплатим за нее кредит.- Возможна покупка в кредит: специальные предложения по кредитованию и страхованию.- Оформление кредита по двум документам.- КАСКО не обязательно.Приглашаем на бесплатный тест-драйв!Группа компаний FAVORIT MOTORS — один из крупнейших российских холдингов, официальный дилер известных мировых брендов , которые обслуживаются в технических центрах ГК FAVORIT MOTORS в рамках официального сервиса.Мы предлагаем полный комплекс услуг по предпродажной подготовке и последующему сервису.Группа компаний FAVORIT MOTORS занимает лидирующее положение в рейтинге продаж автомобилей с пробегом по Москве и области. Это подтверждают специализированные исследования рынка за последние пять лет, указывающие на самый крупный объем реализации.В комплектации автомобиля • Тип обивки салона: Кожа • Цвет салона: Темный • Люк на крыше • Тонированные стекла • Тип фар: Галогеновые • Легкосплавные диски: 17 • Рейлинги на крыше • Штатная сигнализация • Иммобилайзер • Дистанционный запуск двигателя • Бортовой компьютер • Датчик дождя • Круиз-контроль: Пассивный • Обогрев зеркал • Омыватель фар • Усилитель руля • Центральный замок • Электропривод багажника • Третий ряд сидений • Противотуманные фары • Датчик света • Обогрев передних сидений • Обогрев задних сидений • Климат: Климат-контроль 3- зонный • Электропривод зеркал • Стеклоподъемники: Электро все • Сиденье водителя: Электрорегулировка с памятью положения • Сиденье пассажира: Электрорегулировка • Регулировка руля: В двух плоскостях • Антиблокировочная система (ABS) • Антипробуксовочная система • Система курсовой устойчивости • Подушки безопасности: Передние и боковые • Передний парковочный радар • Задний парковочный радар • Камера заднего вида • Система крепления isofix • CD • CD чейнджер • Тип открытия задней двери: Электроприводная • Тип передних тормозов: Дисковые • Тип задних тормозов: Дисковые",3.5 л / 249 л.с. / Бензин,3.5 л , 249 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hYYJewpns2iNeYUyWLEAO3XcySKkcMYQMCws_KgaoWCIarCSIWN_5SCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 90000, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'PILOT', 'modelName': 'Pilot', 'power': 249, 'price': 1965000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2013}",90 000 км,Б/у,Honda,Pilot,II Рестайлинг,3.5 AT (249 л.с.) 4WD,2021-05-12 02:08:07.283261+03:00,1620774487,2013,№ 1103160799,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,Растаможен,1 965 000 ₽,
компактвэн,синий,"Автомобиль гаражного хранения, состояние нового авто за исключением пары притертостей по бамперам (на фото) весь в родной краске за исключением капота (красился в 2013 году в Японии), все стекла родные, включая лобовое. Никакой гнили, ржавчины, коррозии и т.п. нет. Днище тоже абсолютно в идеальном состоянии! В ДТП соответственно не участвовала. Салон как новый. Вложений не требует, разве что резинки стабилизатора поскрипывают.1 владелец с 2013 года, в силу болезни почти не ездил, в основном автомобиль стоял в гараже. ПТС естественно оригинал. Штатный ксенон, климат, круиз, камера, электро дверь с одной стороны и с доводчиком с другой, магнитола с bluetooth и т.д. Любые проверки, диагностика с Вашей стороны приветствуются, либо приезжайте с подборщиком.  ",1.5 л / 118 л.с. / Бензин,1.5 л , 118 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hQWLOoinciiM-FOzWKTUuTTJHaCwJIYQpOx5qH6N4LVIfCTSIKJ_suCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 110432, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'FREED', 'modelName': 'Freed', 'power': 118, 'price': 750000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'VARIATOR', 'type': '', 'year': 2010}",110 432 км,Б/у,Honda,Freed,I,1.5 CVT (118 л.с.),2021-05-12 02:08:09.880450+03:00,1620774489,2010,№ 1103501206,вариатор,1 владелец,Оригинал,передний,Правый,Не требует ремонта,Растаможен,750 000 ₽,7 лет и 6 месяцев
седан,белый,"Автомобиль прошел полную комплексную диагностику.Автомобиль продается от официального дилера ГК «АВТОМИР».ДЦ «Автомир» является участником Гарантийной программы и готов предложить ПРОДЛЕННУЮ ГАРАНТИЮ на автомобили с пробегом.Мы предоставляем 100% гарантию юридической чистоты!Мы предлагаем автомобили с полной диагностикой!Мы можем предложить вам техническую помощь на дорогах Москвы и ближнего Подмосковья в любое время суток. ВХОДИТ В СТОИМОСТЬ АВТОМОБИЛЯ!Возможна продажа в кредит! При покупке автомобиля в кредит СКИДКА на автомобиль до 70 000 рублей! Подробности условий кредита Вы можете узнать по телефонам.Скидка при обмене своего автомобиля на наш автомобиль ( Trade-in ) до 70.000 рублей.Скидки могут суммироваться. Подробности у менеджеров.Мы предлагаем услуги по ВЫКУПУ, а также по КОМИССИОННОЙ продаже вашего автомобиля с самой маленькой наценкой по Москве.Комплектация:• Антиблокировочная система• Подушки безопасности водителя• Центральный замок• Бортовой компьютер• Круиз-контроль• Парктроник задний• Гидро усилитель руля• Электростеклоподъемники передние• Климат-контроль 2-зонный• Обогрев зеркал• CD• Тканевая обивка салона• Темный салон• Литые легкосплавные диски• Противотуманные фары",1.8 л / 142 л.с. / Бензин,1.8 л , 142 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hQWLOgvk8CiZeZNymDJAOnSc3aGk8QeRc7g4_X6PNSBLvGeE9CN-syCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 122915, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'CIVIC', 'modelName': 'Civic', 'power': 142, 'price': 765000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'MECHANICAL', 'type': '', 'year': 2012}",122 915 км,Б/у,Honda,Civic,IX,1.8 MT (142 л.с.),2021-05-12 02:08:10.456960+03:00,1620774490,2012,№ 1102817229,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,Растаможен,765 000 ₽,
седан,чёрный,"ЛОТ: 01249556FAVORIT MOTORS KIA МКАДВы можете получить скидку на данный автомобиль до 50000 рублей. Подробности уточняйте у менеджеров отдела продаж.ГК FAVORIT MOTORS строит свою работу на принципах открытости и честности! Нам доверяют более 25 лет.- Автомобиль продается официальным дилером FAVORIT MOTORS.- Покупка и обслуживание у официального дилера.- Проведена предпродажная подготовка,- Гарантия юридической чистоты.- Круглосуточная техническая поддержка с бесплатным эвакуатором.- Автомобиль можно приобрести за наличный расчет, безналичным платежом, а также мы примем вашу машину по рыночной стоимости в рамках программы трейд-ин и при необходимости — выплатим за нее кредит.- Возможна покупка в кредит: специальные предложения по кредитованию и страхованию.- Оформление кредита по двум документам.- КАСКО не обязательно.Приглашаем на бесплатный тест-драйв!Группа компаний FAVORIT MOTORS — один из крупнейших российских холдингов, официальный дилер известных мировых брендов , которые обслуживаются в технических центрах ГК FAVORIT MOTORS в рамках официального сервиса.Мы предлагаем полный комплекс услуг по предпродажной подготовке и последующему сервису.Группа компаний FAVORIT MOTORS занимает лидирующее положение в рейтинге продаж автомобилей с пробегом по Москве и области. Это подтверждают специализированные исследования рынка за последние пять лет, указывающие на самый крупный объем реализации.В комплектации автомобиля • Тип обивки салона: Кожа • Цвет салона: Темный • Тонированные стекла • Тип фар: Ксенон • Легкосплавные диски: 17 • Штатная сигнализация • Иммобилайзер • Бортовой компьютер • Круиз-контроль: Пассивный • Обогрев зеркал • Омыватель фар • Усилитель руля • Центральный замок • Противотуманные фары • Обогрев передних сидений • Климат: Климат-контроль 2- зонный • Электропривод зеркал • Стеклоподъемники: Электро все • Сиденье водителя: Ручная регулировка по высоте • Сиденье пассажира: Ручная регулировка по высоте • Регулировка руля: В двух плоскостях • Антиблокировочная система (ABS) • Антипробуксовочная система • Система курсовой устойчивости • Подушки безопасности: Передние и боковые • Система крепления isofix • CD • Тип передних тормозов: Дисковые • Тип задних тормозов: Дисковые",2.4 л / 190 л.с. / Бензин,2.4 л , 190 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4219430/eff653836932e3a9168042672b88f3a7/1200x900', 'km-age': 375135, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'ACCORD', 'modelName': 'Accord', 'power': 190, 'price': 489000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': '', 'year': 2006}",375 135 км,Б/у,Honda,Accord,VII Рестайлинг,2.4 AT (190 л.с.),2021-05-12 02:08:11.104491+03:00,1620774491,2006,№ 1102799012,автоматическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,Растаможен,489 000 ₽,
седан,серый,"ЛОТ: 01250915Реутов HYUNDAIВы можете получить скидку на данный автомобиль до 50000 рублей. Подробности уточняйте у менеджеров отдела продаж.ГК FAVORIT MOTORS строит свою работу на принципах открытости и честности! Нам доверяют более 25 лет.- Автомобиль продается официальным дилером FAVORIT MOTORS.- Покупка и обслуживание у официального дилера.- Проведена предпродажная подготовка,- Гарантия юридической чистоты.- Круглосуточная техническая поддержка с бесплатным эвакуатором.- Автомобиль можно приобрести за наличный расчет, безналичным платежом, а также мы примем вашу машину по рыночной стоимости в рамках программы трейд-ин и при необходимости — выплатим за нее кредит.- Возможна покупка в кредит: специальные предложения по кредитованию и страхованию.- Оформление кредита по двум документам.- КАСКО не обязательно.Приглашаем на бесплатный тест-драйв!Группа компаний FAVORIT MOTORS — один из крупнейших российских холдингов, официальный дилер известных мировых брендов , которые обслуживаются в технических центрах ГК FAVORIT MOTORS в рамках официального сервиса.Мы предлагаем полный комплекс услуг по предпродажной подготовке и последующему сервису.Группа компаний FAVORIT MOTORS занимает лидирующее положение в рейтинге продаж автомобилей с пробегом по Москве и области. Это подтверждают специализированные исследования рынка за последние пять лет, указывающие на самый крупный объем реализации.В комплектации автомобиля • Тип обивки салона: Велюр • Цвет салона: Светлый • Тонированные стекла • Тип фар: Галогеновые • Штатная сигнализация • Иммобилайзер • Бортовой компьютер • Обогрев зеркал • Усилитель руля • Центральный замок • Противотуманные фары • Климат: Кондиционер • Электропривод зеркал • Стеклоподъемники: Электро все • Сиденье водителя: Ручная регулировка • Сиденье пассажира: Ручная регулировка • Регулировка руля: В двух плоскостях • Антиблокировочная система (ABS) • Антипробуксовочная система • Система курсовой устойчивости • Подушки безопасности: Передние и боковые • Система крепления isofix • CD • Тип передних тормозов: Дисковые • Тип задних тормозов: Дисковые",1.8 л / 140 л.с. / Бензин,1.8 л , 140 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4361593/702580ee0012e750597fcd96d132a045/1200x900', 'km-age': 325645, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'CIVIC', 'modelName': 'Civic', 'power': 140, 'price': 419000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': '', 'year': 2007}",325 645 км,Б/у,Honda,Civic,VIII,1.8 AT (140 л.с.),2021-05-12 02:08:11.797413+03:00,1620774491,2007,№ 1102886097,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,Растаможен,419 000 ₽,
хэтчбек 5 дв.,белый,"Аукционная оценка 4.5 балла. Аукцион Mirive лот 65068. Есть в статистике ALEADO.Цвет белый перламутр.Все как указано в аукционном листе.Сборы уплачены, Глонасс установлен.Комплектация G L Package.Зимняя комплектация. Электроподогрев передних сидений.Зимняя резина Yokohama.Полноцветный ЖК-монитор.Камера заднего обзора.Система навигации.Безключевой доступ.Автосалонам и перекупщикам просьба не беспокоить.",0.7 л / 58 л.с. / Бензин,0.7 л , 58 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4032314/3ef3ad02ebcd8328f7bdf817a1986640/1200x900', 'km-age': 82000, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'N_WGN', 'modelName': 'N-WGN', 'power': 58, 'price': 695000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'VARIATOR', 'type': '', 'year': 2016}",82 000 км,Б/у,Honda,N-WGN,I,0.7 CVT (58 л.с.),2021-05-12 02:08:12.425514+03:00,1620774492,2016,№ 1103500160,вариатор,1 владелец,Оригинал,передний,Правый,Не требует ремонта,Растаможен,695 000 ₽,
внедорожник 5 дв.,красный,"Машину заказывали в Канаде в 2004 году с минимальным пробегом, все владельцы в ПТС родственники в чем можно очень просто убедиться, машина жила всегда в одной семье. Да пробег оригинальный. Автомобиль полностью обслужен после долгого простоя в гараже осенью прошлого года. Техническое  состояние двигателя АКПП и ходовой отличное, новая всесезонная резина, салон в очень хорошем состоянии, установлен задний парктроник, установлена камера заднего вида, полноценное запасное колесо, Андройд головное устройство с возможностью выхода в интернет, в подарок качественные LED лампочки, которые заставили снять при постановке на учет, легендарный столик и корыто в комплектации. Из минусов коррозия задних арок и нужно решить вопрос с карданом, сейчас он снят, но имеется (цена ремонта 9000 в специализированном тех-центре, у умельцев ниже), но что является поводом для вменяемого торга. Своевременное обслуживание. Непрокуренный салон от слова совсем. Не участвовала в ДТП никогда, вся краска родная. Пройдены все ТО. Продается неспешно. Цена автомобиля обсуждается при личной встрече и торг будет небольшой. В помощи по продаже не нуждаюсь, берегите свое и мое время. Всем удачи",2.0 л / 147 л.с. / Бензин,2.0 л , 147 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hMSLustmsuiNrcZmTbIUOnSdnDVkshKGsWz5vX4bdnSIqqfFoTf_ZqCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 189000, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'CR_V', 'modelName': 'CR-V', 'power': 147, 'price': 340000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2000}",189 000 км,Б/у,Honda,CR-V,I Рестайлинг,2.0 AT (147 л.с.) 4WD,2021-05-12 02:08:13.116964+03:00,1620774493,2000,№ 1103381958,автоматическая,3 или более,Дубликат,полный,Левый,Не требует ремонта,Растаможен,340 000 ₽,16 лет и 11 месяцев
седан,чёрный,На отличном ходу все работает. Без штрафов и ограничений. Продаю так как нужна машина побольше. ,3.5 л / 295 л.с. / Бензин,3.5 л , 295 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4034186/ca6c0821b87c4ccb39e064f32d79266e/1200x900', 'km-age': 200000, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'LEGEND', 'modelName': 'Legend', 'power': 295, 'price': 500000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': '', 'year': 2006}",200 000 км,Б/у,Honda,Legend,IV,3.5 AT (295 л.с.) 4WD,2021-05-12 02:08:13.743267+03:00,1620774493,2006,№ 1102414082,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,Растаможен,500 000 ₽,10 лет и 8 месяцев
внедорожник 5 дв.,серебристый,"Ваш выбор и Ваше время — наши главные приоритеты. Поэтому в РОЛЬФ Северо-Запад | Автомобили с пробегом мы предлагаем Вам индивидуальные условия на приобретение Honda Pilot с пробегом.Специально для Вас:✅ Более 1 500 проверенных автомобилей с пробегом на площади 27 000 кв.м. ✅ Более 50 брендов в различных ценовых категориях.✅ Кредитование в более чем 10 банков-партнёров.✅ Все виды страхования автомобилей.✅ Услуги ГИБДД (поставка на учет, прекращение учета, сохранение государственных знаков).✅ Гарантия до 2 лет на автомобили различных марок.✅ Юридическая чистота и безопасность сделки.✅ Онлайн-консультация по интересующему вас автомобилю.✅ Онлайн-бронирование и предоплата автомобилей.✅ Дистанционно-бесконтактный осмотр автомобиля.✅ Запись на сервисное обслуживание.РОЛЬФ Северо-Запад | Автомобили с пробегом.⭐ №1 по продажам автомобилей с пробегом в России*по данным АвтоБизнесРевюМы рады видеть Вас ежедневно с 10:00 до 22:00 по адресу: Москва, 71-й километр, 16А, МКАД.",3.5 л / 257 л.с. / Бензин,3.5 л , 257 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4034186/82b6a1f26089632f17a30b6c8a5ee13f/1200x900', 'km-age': 176301, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'PILOT', 'modelName': 'Pilot', 'power': 257, 'price': 1010000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2008}",176 301 км,Б/у,Honda,Pilot,II,3.5 AT (257 л.с.) 4WD,2021-05-12 02:08:14.569572+03:00,1620774494,2008,№ 1103483506,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,Растаможен,1 010 000 ₽,
